調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,C120120_納税義務者数（所得割）【人】,F2201_第1次産業就業者数【人】,F2211_第2次産業就業者数【人】,F2221_第3次産業就業者数【人】
2015100000,2015年度,20202,長野県 松本市,,352886783,107069,6794,28388,82036
2015100000,2015年度,20203,長野県 上田市,,193988483,68520,3964,25443,45379
2015100000,2015年度,20204,長野県 岡谷市,,67869469,23275,373,9935,13449
2015100000,2015年度,20205,長野県 飯田市,,126102467,45859,4297,16518,30225
2015100000,2015年度,20206,長野県 諏訪市,,70562286,23497,797,8434,15090
2015100000,2015年度,20207,長野県 須坂市,,61166891,22230,2991,7351,14753
2015100000,2015年度,20208,長野県 小諸市,,47145906,17693,1975,6138,12626
2015100000,2015年度,20209,長野県 伊那市,,87517957,31006,3179,11507,19314
2015100000,2015年度,20210,長野県 駒ヶ根市,,43263133,14950,1309,6619,9064
2015100000,2015年度,20211,長野県 中野市,,51308443,19372,5823,5757,12929
2015100000,2015年度,20212,長野県 大町市,,30467582,11874,1228,3956,8513
2015100000,2015年度,20213,長野県 飯山市,,21545716,8841,2062,2554,6585
2015100000,2015年度,20214,長野県 茅野市,,72726900,25489,1943,10316,16141
2015100000,2015年度,20215,長野県 塩尻市,,89533000,30397,2729,11832,20716
2015100000,2015年度,20217,長野県 佐久市,,118709982,41319,4262,13847,29128
2015100000,2015年度,20218,長野県 千曲市,,73154097,26708,1942,9933,17565
2015100000,2015年度,20219,長野県 東御市,,34915059,12881,1835,5001,8449
2015100000,2015年度,20220,長野県 安曇野市,,119134222,42580,4239,13529,29560
2015100000,2015年度,20303,長野県 小海町,,5251019,1954,570,547,1392
2015100000,2015年度,20304,長野県 川上村,,6798512,2022,2492,129,647
2015100000,2015年度,20305,長野県 南牧村,,5000405,1411,1330,105,757
2015100000,2015年度,20306,長野県 南相木村,,1005353,399,185,82,232
2015100000,2015年度,20307,長野県 北相木村,,807815,282,123,81,178
2015100000,2015年度,20309,長野県 佐久穂町,,11751388,4587,929,1595,3158
2015100000,2015年度,20321,長野県 軽井沢町,,31722532,8759,306,1289,7373
2015100000,2015年度,20323,長野県 御代田町,,19208216,6768,790,2312,4614
2015100000,2015年度,20324,長野県 立科町,,7858491,3048,713,1067,2208
2015100000,2015年度,20349,長野県 青木村,,4591934,1786,217,757,1062
2015100000,2015年度,20350,長野県 長和町,,6183154,2499,341,881,1829
2015100000,2015年度,20361,長野県 下諏訪町,,27833425,9359,135,3641,5830
2015100000,2015年度,20362,長野県 富士見町,,17709934,6551,971,2466,3895
2015100000,2015年度,20363,長野県 原村,,9501645,3334,1007,1120,2007
2015100000,2015年度,20382,長野県 辰野町,,24228980,8928,467,4288,4802
2015100000,2015年度,20383,長野県 箕輪町,,32295255,11430,916,5800,5950
2015100000,2015年度,20384,長野県 飯島町,,10762926,4177,871,2002,2350
2015100000,2015年度,20385,長野県 南箕輪村,,19156874,6682,509,2863,4093
2015100000,2015年度,20386,長野県 中川村,,5378475,2168,628,914,1273
2015100000,2015年度,20388,長野県 宮田村,,11705016,4059,328,1904,2251
2015100000,2015年度,20402,長野県 松川町,,14796343,5682,1696,2312,3420
2015100000,2015年度,20403,長野県 高森町,,15244766,5617,1212,2094,3684
2015100000,2015年度,20404,長野県 阿南町,,4333620,1754,376,651,1344
2015100000,2015年度,20407,長野県 阿智村,,6381563,2583,513,991,2005
2015100000,2015年度,20409,長野県 平谷村,,395881,176,23,38,145
2015100000,2015年度,20410,長野県 根羽村,,892016,384,113,135,271
2015100000,2015年度,20411,長野県 下條村,,4150752,1538,459,653,975
2015100000,2015年度,20412,長野県 売木村,,450642,192,101,39,190
2015100000,2015年度,20413,長野県 天龍村,,1171714,489,115,165,332
2015100000,2015年度,20414,長野県 泰阜村,,1617064,644,187,265,478
2015100000,2015年度,20415,長野県 喬木村,,6580790,2583,612,1027,1792
2015100000,2015年度,20416,長野県 豊丘村,,7052900,2804,809,1208,1732
2015100000,2015年度,20417,長野県 大鹿村,,678482,290,152,85,231
2015100000,2015年度,20422,長野県 上松町,,5213585,2008,173,710,1418
2015100000,2015年度,20423,長野県 南木曽町,,4591913,1769,210,796,1252
2015100000,2015年度,20425,長野県 木祖村,,3249861,1250,118,469,882
2015100000,2015年度,20429,長野県 王滝村,,908566,356,49,67,323
2015100000,2015年度,20430,長野県 大桑村,,4404954,1700,152,855,882
2015100000,2015年度,20432,長野県 木曽町,,13224616,5142,496,1352,4215
2015100000,2015年度,20446,長野県 麻績村,,2653338,1029,306,298,796
2015100000,2015年度,20448,長野県 生坂村,,1639862,669,145,255,501
2015100000,2015年度,20450,長野県 山形村,,10921587,3879,864,1264,2535
2015100000,2015年度,20451,長野県 朝日村,,5720986,2141,541,647,1270
2015100000,2015年度,20452,長野県 筑北村,,4553377,1883,512,578,1334
